shape Re Cd Cl
circle 17.0 1.238480927177212 -0.005787682955948782
circle 17.333333333333332 1.1967920921278332 -0.005575150570225168
circle 17.666666666666668 1.157327383424706 -0.005375210942194286
circle 18.0 1.119928391094407 -0.005186914215475865
rect 17.0 1.5937558409791712 -0.00698588821043703
rect 17.333333333333332 1.5395806826960075 -0.006727072414792884
rect 17.666666666666668 1.4883047744448041 -0.006483887556565926
rect 18.0 1.4397213395789914 -0.006255150915904272
triangle 17.0 1.3292691561520529 -0.006749011094094616
triangle 17.333333333333332 1.2838907799339547 -0.006531128961087649
triangle 17.666666666666668 1.240942852603627 -0.006324912208747898
triangle 18.0 1.2002525330567402 -0.006129519178848893
