shape Uin Cd Cl
circle 0.01 0.13546591849778047 -0.0006490914391619432
circle 0.02 0.26567755425857575 -0.0012907059462189305
circle 0.03 0.3909346436230143 -0.0019053434040564028
circle 0.04 0.5119311799738772 -0.002491320647019394
circle 0.05 0.6292180767829236 -0.0030492489873223663
circle 0.06 0.7432576948882464 -0.0035803408210896134
circle 0.07 0.8544811234206428 -0.004086087120789852
circle 0.08 0.9633572716041415 -0.0045683309397283895
circle 0.09 1.0704927710002727 -0.00502958640734118
circle 0.1 1.176791968955758 -0.005473668110693393
circle 0.11 1.2837229204822436 -0.0059068251085335624
circle 0.12 1.3937626569312729 -0.006339723168370853
circle 0.13 1.511147586947462 -0.006790866223629568
circle 0.14 1.6431903259188334 -0.007292660886823633
circle 0.15 1.8028580259915834 -0.007903386477039231
rect 0.01 0.17469829444885548 -0.0008121521753895203
rect 0.02 0.34247898296580387 -0.0016111689634263453
rect 0.03 0.5036753260086549 -0.002368223122539187
rect 0.04 0.6592346178357673 -0.0030825263677452986
rect 0.05 0.8099083114046394 -0.003756066894043749
rect 0.06 0.9563317048126938 -0.004391303669304439
rect 0.07 1.0991078363474742 -0.004990775256062766
rect 0.08 1.2389093765877832 -0.00555715274752234
rect 0.09 1.3766254526651243 -0.0060934818389796076
rect 0.1 1.5135936989266283 -0.006603602613838818
rect 0.11 1.6519793715386346 -0.00709281797432917
rect 0.12 1.7954004600407327 -0.007568925791066716
rect 0.13 1.9499762591587202 -0.008043752992903688
rect 0.14 2.126192665858098 -0.008535340323129137
rect 0.15 2.342673432015586 -0.00907095539955963
halfcircle 0.01 0.14801432451116175 -0.0006563789413196093
halfcircle 0.02 0.290560216452625 -0.0012961531157106086
halfcircle 0.03 0.42796976638023737 -0.0019112869443500932
halfcircle 0.04 0.5609352996181356 -0.002502537594457433
halfcircle 0.05 0.6900077282978228 -0.0030714005670866963
halfcircle 0.06 0.8156504063973907 -0.0036194565452412884
halfcircle 0.07 0.9382958317990882 -0.0041483865891135665
halfcircle 0.08 1.0584147558358674 -0.004660221787998425
halfcircle 0.09 1.1766172803835813 -0.005157834989774809
halfcircle 0.1 1.2938165321124742 -0.0056458371665482985
halfcircle 0.11 1.4115034598445342 -0.006132193130755889
halfcircle 0.12 1.5322105204680003 -0.006631096073032708
halfcircle 0.13 1.6602961481890302 -0.007168042867737608
halfcircle 0.14 1.8033170688025884 -0.007789045047983706
halfcircle 0.15 1.9746871852725623 -0.008579178134719725
triangle 0.01 0.14541174708880897 -0.0007332178899159666
triangle 0.02 0.2852007460032068 -0.0014553209713524648
triangle 0.03 0.4197373065169881 -0.0021517319392906622
triangle 0.04 0.5497259274614865 -0.002823045816413659
triangle 0.05 0.6757281898983508 -0.0034709025939228936
triangle 0.06 0.7982098336480503 -0.004096993884731637
triangle 0.07 0.9175915885079581 -0.0047030578655033965
triangle 0.08 1.0343087869423946 -0.005291141701653361
triangle 0.09 1.1488961352815128 -0.005864115770635073
triangle 0.1 1.2621241884984962 -0.006426616862847949
triangle 0.11 1.375230505876816 -0.0069867747765663245
triangle 0.12 1.4903147659862146 -0.007559336756713904
triangle 0.13 1.6110116210086916 -0.008171238180677337
triangle 0.14 1.7436545530444332 -0.008871625356147302
triangle 0.15 1.8994524622716118 -0.009751360924430961
moon 0.01 0.14764707393808568 -0.0006703590974889496
moon 0.02 0.2898352974877135 -0.0013256950791046072
moon 0.03 0.42689646896139893 -0.0019559243475719473
moon 0.04 0.5595211360203256 -0.0025614718172923406
moon 0.05 0.6882588159351873 -0.0031437226300802335
moon 0.06 0.813571653197276 -0.003704211849731977
moon 0.07 0.935890912726105 -0.004244598104233119
moon 0.08 1.0556858109868068 -0.004766896802810056
moon 0.09 1.1735641772340129 -0.0052739602426741024
moon 0.1 1.2904353953349208 -0.00577035909763883
moon 0.11 1.4077839449700504 -0.006263973049585916
moon 0.12 1.5281309325535992 -0.006768819970978453
moon 0.13 1.6558148488502666 -0.007310047376428794
moon 0.14 1.7983572535771255 -0.007932980777590953
moon 0.15 1.9691085650388456 -0.00872132163501001
bullet 0.01 0.14497417280861186 -0.0009984793187362666
bullet 0.02 0.2834974015851882 -0.001978729166832899
bullet 0.03 0.416015013131177 -0.002913892307375797
bullet 0.04 0.5433872758462026 -0.0038043026292058683
bullet 0.05 0.6662966341578006 -0.004652615273710734
bullet 0.06 0.785311412814633 -0.00546178171185655
bullet 0.07 0.9009524236374528 -0.006234868432504004
bullet 0.08 1.0137699241132179 -0.006975350201526368
bullet 0.09 1.1244503492736624 -0.007687735521166366
bullet 0.1 1.2339820179394851 -0.00837866837914643
bullet 0.11 1.3439243436314707 -0.00905883004105926
bullet 0.12 1.4568505720828386 -0.009746187442483343
bullet 0.13 1.5770849681166688 -0.010471527568331347
bullet 0.14 1.7119908986176324 -0.011288224847449277
bullet 0.15 1.874502158247132 -0.01229153366227197
