shape size Cd Cl
circle 0.046875 1.7109847940488696 -0.008134819823874626
circle 0.0625 1.412406233529446 -0.006617219610418421
circle 0.078125 1.2753593693552165 -0.006294279252320537
circle 0.09375 1.366330138616202 -0.006109868225141376
circle 0.109375 1.23668034352205 -0.006274865483025784
circle 0.125 1.1767919689756752 -0.005473668111326146
circle 0.140625 1.2532687850608277 -0.006345646862753223
circle 0.15625 1.2034065940865657 -0.005596782459464207
circle 0.171875 1.1783127835223248 -0.0051427130862028245
circle 0.1875 1.1471960158272312 -0.0052924059162757576
circle 0.203125 1.248439394261929 -0.005219530432489359
circle 0.21875 1.2117515831420151 -0.005413431309878542
circle 0.234375 1.2287659895110081 -0.005306763832087159
circle 0.25 1.321461395569285 -0.0057997276331217176
circle 0.265625 1.3273082129471423 -0.005444021307635263
circle 0.28125 1.3511897683082623 -0.005591350173759493
circle 0.296875 1.3831035830992453 -0.005784192797559531
circle 0.3125 1.492346875176193 -0.00592098402013162
circle 0.328125 1.537054426910686 -0.006261682339882299
circle 0.34375 1.5679714389575605 -0.006755063341413647
circle 0.359375 1.638479629712448 -0.006967677435850059
rect 0.046875 1.7807962450441723 -0.009999390070606639
rect 0.0625 1.6193790128986973 -0.008619779400065081
rect 0.078125 1.550624775926984 -0.006925528759791662
rect 0.09375 1.5408432478516174 -0.007725330737847029
rect 0.109375 1.5106611555087515 -0.0070863778749959624
rect 0.125 1.5135936989385512 -0.006603602614505165
rect 0.140625 1.5372275928793802 -0.007119654760808278
rect 0.15625 1.5423394481045145 -0.006230617975365097
rect 0.171875 1.5934540299530662 -0.005946503488451033
rect 0.1875 1.6656599687765843 -0.005744252318864066
rect 0.203125 1.6656599687765843 -0.005744252318864066
rect 0.21875 1.7590926102407216 -0.005625197084650449
rect 0.234375 1.8749741706102492 -0.0055959101824294465
rect 0.25 1.9719785571243231 0.015255945355443645
rect 0.265625 2.0155224007872183 -0.0056661615576422955
rect 0.28125 2.1840235711490856 -0.00584730503278273
rect 0.296875 2.3850585530474118 -0.006150807371431278
rect 0.3125 2.3850585530474118 -0.006150807371431278
rect 0.328125 2.6249101806305473 -0.0065868050636333575
