shape theta Cd Cl
circle 0 0.06913645307296883 -0.0003758630897175009
circle 5 0.06913645307296883 -0.0003758630897175009
circle 10 0.06913645307296883 -0.0003758630897175009
circle 15 0.06913645307296883 -0.0003758630897175009
circle 20 0.06913645307296883 -0.0003758630897175009
circle 25 0.06913645307296883 -0.0003758630897175009
circle 30 0.06913645307296883 -0.0003758630897175009
circle 35 0.06913645307296883 -0.0003758630897175009
circle 40 0.06913645307296883 -0.0003758630897175009
circle 45 0.06913645307296883 -0.0003758630897175009
circle 50 0.06913645307296883 -0.0003758630897175009
circle 55 0.06913645307296883 -0.0003758630897175009
circle 60 0.06913645307296883 -0.0003758630897175009
circle 65 0.06913645307296883 -0.0003758630897175009
circle 70 0.06913645307296883 -0.0003758630897175009
circle 75 0.06913645307296883 -0.0003758630897175009
circle 80 0.06913645307296883 -0.0003758630897175009
circle 85 0.06913645307296883 -0.0003758630897175009
circle 90 0.06913645307296883 -0.0003758630897175009
circle 95 0.06913645307296883 -0.0003758630897175009
circle 100 0.06913645307296883 -0.0003758630897175009
circle 105 0.06913645307296883 -0.0003758630897175009
circle 110 0.06913645307296883 -0.0003758630897175009
circle 115 0.06913645307296883 -0.0003758630897175009
circle 120 0.06913645307296883 -0.0003758630897175009
circle 125 0.06913645307296883 -0.0003758630897175009
circle 130 0.06913645307296883 -0.0003758630897175009
circle 135 0.06913645307296883 -0.0003758630897175009
circle 140 0.06913645307296883 -0.0003758630897175009
circle 145 0.06913645307296883 -0.0003758630897175009
circle 150 0.06913645307296883 -0.0003758630897175009
circle 155 0.06913645307296883 -0.0003758630897175009
circle 160 0.06913645307296883 -0.0003758630897175009
circle 165 0.06913645307296883 -0.0003758630897175009
circle 170 0.06913645307296883 -0.0003758630897175009
circle 175 0.06913645307296883 -0.0003758630897175009
circle 180 0.06913645307296883 -0.0003758630897175009
rect 0 0.08594041094496659 -0.0004903298069344448
rect 5 0.07761029590900598 -0.0021328798120632576
rect 10 0.07793492165038671 -0.0015200827221985495
rect 15 0.07190687516762664 -0.0018233806123160695
rect 20 0.07163462144288722 -0.002239682555339463
rect 25 0.06598092896943808 -0.0033016109039782885
rect 30 0.06612200111208344 -0.004786841068349144
rect 35 0.06747544713972849 -0.0015817410874887413
rect 40 0.0657209619789771 -0.001397383327035037
rect 45 0.0657499482212963 -0.0004741885279821218
rect 50 0.06571151730261494 0.0004542918102190446
rect 55 0.06746140820122187 0.0006511558666922909
rect 60 0.066018284348117 0.003777293744092481
